numTraj	AM	IS	PDIS	WIS	CWPDIS	DR	WDR	MAGIC
2	26208.2	28102.4	9217.13	2074.95	1168.03	6932.13	6104.03	10618.1
5	11673	13747.9	4984.08	400.381	168.773	970.355	657.019	867.423
7	10681.3	8643.09	3136.04	351.315	161.102	590.04	361.853	481.825
11	9372.39	6867.18	2193.05	194.04	81.0431	134.924	6.18405	38.8842
19	9206.83	3626.72	1289.32	103.653	53.6334	76.9751	4.21057	24.4641
35	9362.76	2013.22	707.373	55.9927	29.5434	43.6525	2.34016	12.6318
67	9348.63	973.594	352.438	27.4153	14.2886	23.27	1.1051	5.29754
131	9428.76	533.607	176.637	11.1108	6.93714	10.7857	0.542931	2.60327
259	9322.68	356.125	102.204	5.87227	3.33234	5.71462	0.26375	1.16074
515	9377.9	109.146	36.0899	3.45463	1.7931	2.23204	0.152455	0.455032
1027	9390.11	77.1231	20.8983	1.46434	0.843118	1.22435	0.0768387	0.0830507
2051	9366.58	30.5061	10.4381	0.680678	0.453185	0.689599	0.0423291	0.0460329
