numTraj	AM	IS	PDIS	WIS	CWPDIS	DR	WDR	MAGIC
2	8.53849	90.9905	90.9905	21.411	21.411	93.0062	21.42	21.8091
5	9.77733	50.7955	50.7955	13.9885	13.9885	55.1044	14.3411	15.5735
7	10.087	62.193	62.193	11.8527	11.8527	66.9208	12.4066	13.7354
11	8.53849	23.0945	23.0945	9.5302	9.5302	26.4325	9.9526	10.5085
19	6.52538	26.0567	26.0567	6.47212	6.47212	27.7945	6.83104	7.18212
35	5.28654	15.0019	15.0019	4.40952	4.40952	15.5941	4.56158	5.25509
67	4.66712	4.03688	4.03688	2.09883	2.09883	4.03688	2.09883	4.55343
131	4.66712	2.53447	2.53447	1.21518	1.21518	2.53447	1.21518	3.7612
259	4.66712	1.04825	1.04825	0.125319	0.125319	1.04825	0.125319	2.36035
515	4.66712	0.529747	0.529747	0.059048	0.059048	0.529747	0.059048	0.378144
1027	4.66712	0.319768	0.319768	0.0245507	0.0245507	0.319768	0.0245507	0.0246278
2051	4.66712	0.142807	0.142807	0.0115107	0.0115107	0.142807	0.0115107	0.0115271
4099	4.66712	0.0724717	0.0724717	0.00551438	0.00551438	0.0724717	0.00551438	0.00551967
8195	4.66712	0.0465378	0.0465378	0.00331774	0.00331774	0.0465378	0.00331774	0.00331993
16387	4.66712	0.0201414	0.0201414	0.00138425	0.00138425	0.0201414	0.00138425	0.00138734
32771	4.66712	0.0100814	0.0100814	0.000772182	0.000772182	0.0100814	0.000772182	0.00077489
